"FID"	"phen"	"x"	"y"	"n_eggs_max"	"pldens_3"	"phen_n3"
4342	6	1499933.418	-34.3516756	0	11.0554174091	3.49354838709677
4343	4	1499933.418	-35.18987728	0	6.54082573397	3.65555555555556
4344	4	1499933.66	-35.35286094	0	6.36308590425	3.70949720670391
4345	3	1499933.66	-35.35286094	0	6.36308590425	3.71508379888268
4346	2	1499933.66	-35.35286094	0	6.36308590425	3.72067039106145
4347	6	1499933.283	-35.85239527	0	2.91493320753	3.67901234567901
4348	6	1499933.283	-35.85239527	0	2.91493320753	3.67901234567901
4349	6	1499933.283	-35.85239527	0	2.91493320753	3.67901234567901
4350	5	1499932.738	-35.24632295	0	3.41260473077	3.9375
4351	4	1499932.319	-35.14260608	0	2.84383727564	3.8375
4352	3	1499931.261	-35.74941787	0	0.604315421074	4.05882352941176
4353	5	1499940.875	-34.69395775	1	5.04781116426	4.47517730496454
4354	6	1499939.958	-34.50612599	0	9.24247114583	4.15503875968992
4355	6	1499939.801	-34.49303124	0	9.5268548734	4.14925373134328
4356	5	1499939.767	-35.09539012	0	7.1095931891	4.055
4357	5	1499939.563	-34.94610987	0	7.71390861018	4.02325581395349
4358	6	1499939.288	-34.8361139	3	9.06473131611	3.98814229249012
4359	6	1499940.028	-35.99246971	0	1.91959016106	4.11111111111111
4360	6	1499940.375	-36.65710437	0	1.27972677404	4.08333333333333
4361	3	1499940.375	-36.65710437	0	1.27972677404	4.16666666666667
4362	3	1499940.375	-36.65710437	0	1.27972677404	4.16666666666667
4363	2	1499940.375	-36.65710437	0	1.27972677404	4.19444444444444
4364	1	1499940.375	-36.65710437	0	1.27972677404	4.22222222222222
4365	4	1499940.271	-37.24264216	0	0.888699148638	4
4366	5	1499939.17	-34.35131368	0	12.9039116382	3.93871866295265
4367	5	1499939.221	-34.7936979	0	9.38466300962	3.99242424242424
4368	2	1499939.09	-35.25724883	0	7.8916484399	3.95909090909091
4369	2	1499938.423	-34.95033155	0	11.5886368982	3.79256965944272
4370	6	1499937.261	-35.44139919	2	10.6999377496	3.62333333333333
4371	2	1499937.168	-34.25183015	0	18.5204902576	3.71676300578035
4372	2	1499937.168	-34.34496367	0	18.0939146663	3.68958742632613
